qx	qy	Energy_lower	Energy_upper
5.0000000000e-02	2.0000000000e-02	3.7335363422e+00	2.5496489650e+00
5.0000000000e-02	3.0000000000e-02	3.7817528127e+00	2.5014324945e+00
5.0000000000e-02	4.0000000000e-02	3.8429857125e+00	2.4401995946e+00
5.0000000000e-02	5.0000000000e-02	3.9135081075e+00	2.3696771997e+00
5.0000000000e-02	6.0000000000e-02	3.9902939122e+00	2.2928913950e+00
5.0000000000e-02	7.0000000000e-02	4.0710352458e+00	2.2121500614e+00
5.0000000000e-02	8.0000000000e-02	4.1540135369e+00	2.1291717703e+00
5.0000000000e-02	9.0000000000e-02	4.2379537189e+00	2.0452315883e+00
5.0000000000e-02	1.0000000000e-01	4.3219046374e+00	1.9612806697e+00
6.0000000000e-02	-1.0000000000e-01	4.3692903585e+00	1.9138949487e+00
6.0000000000e-02	-9.0000000000e-02	4.2898936706e+00	1.9932916366e+00
